load_profile,scenario_family,channel_utilization,channel_utilization__ci95_low,channel_utilization__ci95_high,crypto_utilization,crypto_utilization__ci95_low,crypto_utilization__ci95_high,average_queue_length,background_delivered_ratio,background_dropped_ratio
emergency,A,0.7831245109871758,0.7566942944645824,0.8095547275097693,0.48301947072339557,0.46896664679014566,0.4970722946566455,1.7411091390527778,0.9704598409198624,0.029540159080137542
emergency,B,0.785670249948794,0.7600588099448352,0.8112816899527527,0.4846825105758049,0.47128542819209057,0.49807959295951926,1.4021888938476648,0.9848797830062133,0.015120216993786788
emergency,C,0.7396611651807478,0.7172737761414966,0.762048554219999,0.016573969164651293,0.016253094991956527,0.01689484333734606,1.4433150605914575,0.9835713857579182,0.016428614242081734
high,A,0.883812857898694,0.8587433505722686,0.9088823652251194,0.5208657982683318,0.5078419185784152,0.5338896779582484,3.4685965632277207,0.9923226164571112,0.007677383542888821
high,B,0.8858956197809857,0.8598285682903828,0.9119626712715887,0.5219605218765317,0.508460869391065,0.5354601743619984,2.5748346989207187,0.99540744978388,0.00459255021612001
high,C,0.8359165862670466,0.8115251468485952,0.8603080256854979,0.016648698176105207,0.0162754333100194,0.017021963042191012,1.68899327630537,0.9854731028303052,0.014526897169694722
normal,A,0.626588963925655,0.6050648121033415,0.6481131157479685,0.37038763984816664,0.3593380408204584,0.3814372388758749,0.9523897064324178,0.9937207271572597,0.006279272842740336
normal,B,0.6233990261379249,0.6005564778329516,0.6462415744428981,0.36866681621472464,0.35677290385680777,0.3805607285726415,0.8529778004486243,0.990633007859014,0.009366992140985948
normal,C,0.6805054645001342,0.6562203148750014,0.7047906141252669,0.01287370084993267,0.012535184546041082,0.013212217153824257,1.0702525521369084,0.9897403381642512,0.010259661835748791
overload,A,0.9949052733283608,0.9921762247428065,0.997634321913915,0.7075111763730927,0.6902189983770375,0.7248033543691479,10.045242903090827,0.3968848404137028,0.6031151595862972
overload,B,0.9952989551262176,0.9927500195572797,0.9978478906951554,0.6791879291513674,0.662997004920101,0.6953788533826337,9.09754027160235,0.4830732267482565,0.5169267732517435
overload,C,0.9923940223916994,0.9891889576523887,0.9955990871310101,0.020081611837987613,0.019855283799559482,0.020307939876415743,7.556267652475403,0.6382371130015315,0.3617628869984685
