load_profile,scenario_family,critical_classification_time_mean_s,critical_crypto_time_mean_s,critical_queue_time_mean_s,critical_tx_time_mean_s,critical_ack_time_mean_s
emergency,A,0.0001,0.03408222222222238,0.13280361481562972,0.034661111111111115,0.010027777777777603
emergency,B,0.0001,0.03408222222222238,0.05141769585964217,0.03456666666666667,0.009999999999999823
emergency,C,0.0001,0.0014420000000002489,0.11104349988675592,0.034384027777777784,0.010166666666666487
high,A,0.0001,0.03408500000000017,0.3198028619841397,0.03435416666666667,0.009999999999999818
high,B,0.0001,0.03408500000000017,0.04143759147571247,0.0346375,0.009999999999999815
high,C,0.0001,0.0014420000000003909,0.06696335581983688,0.03384895833333334,0.009999999999999815
normal,A,0.0001,0.03406000000000016,0.06627464062979989,0.034309090909090914,0.009999999999999825
normal,B,0.0001,0.03406000000000016,0.03259610635366343,0.034309090909090914,0.009969696969696797
normal,C,0.0001,0.0014420000000003523,0.03909957784164778,0.034210606060606066,0.010060606060605886
overload,A,0.0001,0.03408666666666682,0.846364673249304,0.03679555555555556,0.010177777777777607
overload,B,0.0001,0.03408666666666682,0.057620962854002485,0.03732444444444445,0.01024444444444427
overload,C,0.0001,0.0014420000000003098,0.1610896010322286,0.03662666666666667,0.010422222222222046
