load_profile,lhs_scenario,rhs_scenario,critical_deadline_met_ratio_delta,critical_latency_mean_s_delta,critical_latency_improvement_ratio,critical_queue_time_mean_s_delta,critical_crypto_time_mean_s_delta,background_dropped_ratio_delta,background_delivered_ratio_delta
emergency,B,A,0.12638888888888886,-0.08270171072138541,0.2883862209759436,-0.08138591895598754,0.0,-0.014419942086350755,0.01441994208635089
emergency,C,A,0.25277777777777777,-0.1293637531154681,0.4510997845971745,-0.021760114928873794,-0.03264022222222213,-0.013111544838055808,0.013111544838055877
emergency,C,B,0.12638888888888894,-0.0466620423940827,0.2286543184202878,0.05962580402711375,-0.03264022222222213,0.0013083972482949464,-0.0013083972482950124
high,B,A,0.32291666666666663,-0.2777477018642388,0.6486924883779525,-0.27836527050842724,0.0,-0.003084833326768811,0.0030848333267687877
high,C,A,0.5291666666666667,-0.3151502439596375,0.7360478398018311,-0.25283950616430284,-0.03264299999999978,0.006849513626805901,-0.00684951362680597
high,C,B,0.20625000000000004,-0.037402542095398714,0.24865779561770265,0.02552576434412441,-0.03264299999999978,0.009934346953574712,-0.009934346953574757
normal,B,A,0.08484848484848495,-0.03413828155688295,0.21728189587593633,-0.03367853427613646,0.0,0.0030877192982456123,-0.0030877192982456947
normal,C,A,0.19696969696969702,-0.07197914728767484,0.45812984347614194,-0.027175062788152106,-0.03261799999999981,0.0039803889930084555,-0.003980388993008455
normal,C,B,0.11212121212121207,-0.03784086573079189,0.3077071378970306,0.006503471487984351,-0.03261799999999981,0.0008926696947628432,-0.0008926696947627599
overload,B,A,0.18222222222222223,-0.791639999999999,0.7734368101195067,-0.7887437103953014,0.0,-0.08618838633455372,0.08618838633455367
overload,C,A,0.2177777777777778,-0.8129170158122668,0.7942245763247298,-0.6852750722170754,-0.03264466666666651,-0.24135227258782876,0.2413522725878287
overload,C,B,0.03555555555555559,-0.021277015812267874,0.09175261972692088,0.10346863817822613,-0.03264466666666651,-0.15516388625327504,0.15516388625327504
